Date,Humidity,Wind_Speed,Pressure,Temp
22-03-1982,13.85,2.52,99.06,28.84
23-03-1982,14.53,2.5,99.12,28.58
24-03-1982,15.32,2.69,99.14,28.22
25-03-1982,14.71,3.07,99.12,28.85
26-03-1982,12.33,3.55,99.02,28.88
27-03-1982,14.34,2.4,99.04,28.36
28-03-1982,15.32,2.13,99.08,28.8
29-03-1982,15.75,2.41,99.19,29.73
30-03-1982,15.44,2.63,99.28,29.83
31-03-1982,15.99,2.71,99.2,29.21
01-04-1982,17.09,3.05,99.15,28.59
02-04-1982,16.36,2.96,99.19,29.01
03-04-1982,16.11,3.53,99.24,28.75
04-04-1982,15.56,3.34,99.18,29.06
05-04-1982,15.2,3.35,99.11,29.47
06-04-1982,15.14,3.51,99.18,29.75
07-04-1982,14.83,2.81,99.29,30.22
08-04-1982,14.77,2.45,99.27,29.53
09-04-1982,14.71,2.86,99.21,28.59
10-04-1982,15.69,2.91,99.09,28.98
11-04-1982,15.69,2.41,99.05,29.52
12-04-1982,15.2,2.43,99.11,29.27
13-04-1982,14.95,2.29,98.98,29.65
14-04-1982,16.11,2.22,99.05,29.45
15-04-1982,15.87,2.61,99.04,29.61
16-04-1982,16.3,2.77,98.98,29.54
17-04-1982,16.3,3.82,98.84,29.51
18-04-1982,15.32,3.76,98.83,29.2
19-04-1982,15.2,3.63,98.91,28.3
20-04-1982,14.95,2.89,98.94,28.19
21-04-1982,15.44,2.52,99.14,28.41
22-04-1982,15.08,3.38,99.13,28.98
23-04-1982,17.76,2.69,99.13,27.93
24-04-1982,16.54,3.24,99.05,28.8
25-04-1982,16.3,3.56,99.02,28.79
26-04-1982,15.99,4.04,99.02,29.26
27-04-1982,15.2,3.88,98.95,29.51
28-04-1982,15.75,3.41,98.98,28.78
29-04-1982,15.69,2.95,99.01,29.15
30-04-1982,17.58,2.87,99.02,28.93
01-05-1982,17.76,2.74,99.13,28.79
02-05-1982,17.52,2.56,99.2,28.48
03-05-1982,17.33,2.32,99.23,28.12
04-05-1982,17.21,2.64,99.23,28.27
05-05-1982,16.11,2.69,99.29,28.4
06-05-1982,16.05,3.6,99.23,29.12
07-05-1982,16.54,2.97,99.22,28.51
08-05-1982,16.24,3.74,99.16,29.04
09-05-1982,16.42,3.65,99.05,29.69
10-05-1982,17.7,3.09,99.06,28.37
11-05-1982,17.33,2.73,99.06,28.05
12-05-1982,17.03,2.77,99.09,28.55
13-05-1982,16.78,3.06,99.01,29.19
14-05-1982,16.85,3.22,98.95,29.01
15-05-1982,16.85,2.12,99.02,28.86
16-05-1982,17.82,2.83,99.14,27.87
17-05-1982,17.4,3.31,99.12,27.55
18-05-1982,17.33,2.9,99.18,26.63
19-05-1982,16.78,2.16,99.15,28.3
20-05-1982,18.07,1.45,99.14,28.11
21-05-1982,18.62,2.73,98.99,27.97
22-05-1982,18.98,1.74,98.87,28.23
23-05-1982,18.37,1.75,98.79,28
24-05-1982,18.13,1.79,98.81,28.62
25-05-1982,18.19,2.52,98.78,29.05
26-05-1982,19.04,2.08,98.85,27.94
27-05-1982,18.55,2.5,98.81,27.84
28-05-1982,18.31,2.69,98.82,27.01
29-05-1982,17.7,2.6,98.82,27.41
30-05-1982,18.68,3.11,98.88,27.33
31-05-1982,18.62,3.83,98.89,27.12
01-06-1982,18.92,4.01,98.85,27.01
02-06-1982,18.68,4.17,98.82,26.44
03-06-1982,18.13,4.43,98.82,27.26
04-06-1982,18.37,4.58,98.93,27.29
05-06-1982,18.62,3.96,98.96,27.57
06-06-1982,18.62,3.23,98.91,27.46
07-06-1982,18.68,3.59,98.79,27.77
08-06-1982,19.17,4.88,98.81,27.43
09-06-1982,19.47,5.62,98.74,26.77
10-06-1982,19.23,5.8,98.8,26.24
11-06-1982,18.13,4.2,98.84,25.49
12-06-1982,17.64,4.02,98.97,25.77
13-06-1982,17.82,4.48,98.9,25.62
14-06-1982,17.88,3.55,98.84,25.96
15-06-1982,18.25,5,98.92,25.87
16-06-1982,17.46,4.99,99.03,25.93
17-06-1982,17.7,4.95,99.08,25.53
18-06-1982,18.01,4.25,99.09,25.94
19-06-1982,18.43,3.74,99.07,25.76
20-06-1982,19.1,4.18,99.09,25.87
21-06-1982,19.47,3.52,99.14,26.17
22-06-1982,18.86,2.51,99.12,25.8
23-06-1982,17.33,3.74,99.07,25.55
24-06-1982,16.36,3.18,99.11,25.37
25-06-1982,17.27,3.19,99.11,25.45
26-06-1982,17.52,2.35,99.1,25.09
27-06-1982,16.97,2.76,99.08,24.68
28-06-1982,17.21,3.16,99.03,25.17
29-06-1982,17.09,2.7,99.17,25.34
30-06-1982,17.82,3.15,99.18,25.28
01-07-1982,17.7,2.57,99.04,25.71
02-07-1982,18.13,2.34,98.94,25.87
03-07-1982,18.86,3.34,98.95,26.37
04-07-1982,19.35,4.25,99.06,26.65
05-07-1982,19.53,3.8,99.01,26.35
06-07-1982,19.59,3.48,98.94,26.34
07-07-1982,19.23,3.61,98.98,26.05
08-07-1982,17.76,3.62,98.95,25.62
09-07-1982,17.4,4.17,98.89,24.95
10-07-1982,16.66,2.69,98.94,24.82
11-07-1982,16.97,3.44,98.89,24.64
12-07-1982,18.01,4.71,98.82,25.2
13-07-1982,19.23,5.02,98.79,25.71
14-07-1982,19.59,5.37,98.82,26.22
15-07-1982,19.17,5.2,98.89,26.05
16-07-1982,18.8,5.45,98.95,25.76
17-07-1982,18.62,5.28,98.87,25.56
18-07-1982,18.01,5.91,98.81,24.94
19-07-1982,18.07,5.83,98.74,25.17
20-07-1982,18.43,5.8,98.81,25.46
21-07-1982,17.94,4.59,98.92,25.15
22-07-1982,18.13,4.13,98.98,24.94
23-07-1982,18.19,3.81,99.06,25.01
24-07-1982,18.68,3.91,99.16,25.12
25-07-1982,18.31,4.29,99.2,25.08
26-07-1982,18.25,3.36,99.11,25.14
27-07-1982,18.62,4.75,99,25.55
28-07-1982,18.92,5.06,98.99,25.54
29-07-1982,18.25,4.88,99.05,25.46
30-07-1982,18.74,4.36,99,25.72
31-07-1982,18.8,4.74,98.89,25.83
01-08-1982,18.68,5.66,98.85,25.83
02-08-1982,18.31,5.49,98.97,25.44
03-08-1982,17.58,3.81,99.14,25.16
04-08-1982,18.19,3.21,99.09,25.15
05-08-1982,18.62,3.76,98.99,25.67
06-08-1982,18.74,3.76,98.9,25.34
07-08-1982,18.31,4.8,98.96,25.01
08-08-1982,17.94,4.91,99.02,24.9
09-08-1982,17.76,4.98,99.01,25
10-08-1982,18.13,4.79,98.99,25.04
11-08-1982,18.31,5.01,98.96,25.1
12-08-1982,17.7,5.3,98.94,24.69
13-08-1982,17.82,5.72,98.96,24.62
14-08-1982,17.64,4.45,99.05,24.77
15-08-1982,17.7,4.08,99.09,24.65
16-08-1982,18.01,4.29,99.01,24.63
17-08-1982,17.52,4.69,99.09,24.35
18-08-1982,17.15,3.75,99.18,24.11
19-08-1982,17.46,3.63,99.12,24.93
20-08-1982,17.4,4.18,99.12,25.02
21-08-1982,17.21,4.26,99.1,24.92
22-08-1982,17.94,3.78,99.11,25.08
23-08-1982,18.8,4.27,99.05,25.52
24-08-1982,18.8,3.53,99.08,25.44
25-08-1982,18.07,3.47,99.11,25
26-08-1982,18.07,3.91,99.06,25.28
27-08-1982,18.01,3.61,99.13,25.11
28-08-1982,17.82,2.83,99.12,24.87
29-08-1982,17.88,3.36,99.06,25.3
30-08-1982,17.94,4.09,99.1,25.65
31-08-1982,18.13,3.28,99.16,25.69
01-09-1982,17.76,2.73,99.19,25.82
02-09-1982,17.82,3.09,99.16,25.87
03-09-1982,17.33,2.71,99.18,25.45
04-09-1982,17.52,2.62,99.22,25.28
05-09-1982,17.46,3.11,99.23,25.23
06-09-1982,17.64,3.4,99.18,25.26
07-09-1982,17.27,3.77,99.19,25.11
08-09-1982,16.42,4.07,99.09,24.87
09-09-1982,17.03,3.84,98.99,24.91
10-09-1982,17.58,3.45,99.01,25.21
11-09-1982,17.7,3.48,99.02,25.44
12-09-1982,17.52,3.09,99.01,25.31
13-09-1982,17.58,2.76,98.95,25.35
14-09-1982,17.7,2.43,99.05,25.55
15-09-1982,17.46,2.23,99.15,25.5
16-09-1982,17.7,2.62,99.15,25.43
17-09-1982,17.64,2.84,99.07,25.52
18-09-1982,18.07,3.12,99.06,25.31
19-09-1982,17.33,2.19,99.13,24.61
20-09-1982,17.27,2.07,99.2,25.26
21-09-1982,16.91,2.08,99.31,25.23
22-09-1982,17.09,2.64,99.17,24.84
23-09-1982,17.52,3.08,99.13,24.86
24-09-1982,17.21,2.99,99.11,25.12
25-09-1982,15.56,2.64,99.18,24.77
26-09-1982,15.87,1.86,99.24,24.9
27-09-1982,15.99,2.09,99.25,24.55
28-09-1982,15.56,2.02,99.29,24.65
29-09-1982,16.48,1.98,99.33,24.45
30-09-1982,16.48,1.91,99.3,24.65
01-10-1982,16.66,1.71,99.29,25.04
02-10-1982,17.03,1.2,99.38,25.62
03-10-1982,17.03,1.34,99.48,26.32
04-10-1982,17.27,1.68,99.35,26.49
05-10-1982,16.6,1.08,99.29,26.55
06-10-1982,16.91,1.38,99.41,25.37
07-10-1982,17.21,2.21,99.46,25.49
08-10-1982,17.21,2.2,99.33,25.95
09-10-1982,17.82,1.7,99.27,25.74
10-10-1982,17.4,1.35,99.29,26.06
11-10-1982,17.09,1.11,99.31,26.23
12-10-1982,17.15,1.69,99.18,27.01
13-10-1982,16.72,1.5,99.24,26.58
14-10-1982,16.97,1.5,99.23,26.73
15-10-1982,17.64,1.35,99.13,26.29
16-10-1982,17.94,1.59,98.98,26.64
17-10-1982,18.13,1.5,98.91,26.4
18-10-1982,17.46,1.69,99.09,25.67
19-10-1982,15.75,1.53,99.14,25.4
20-10-1982,16.6,2.24,99.03,25.35
21-10-1982,17.21,2.41,98.98,25.53
22-10-1982,17.15,1.49,99.04,25.69
23-10-1982,17.33,1.45,99.17,26.05
24-10-1982,17.03,2.12,99.34,24.31
25-10-1982,17.09,2.11,99.22,24.72
26-10-1982,16.66,1.36,99.17,24.95
27-10-1982,16.97,1.14,99.19,25.4
28-10-1982,17.82,1.77,99.38,24.93
29-10-1982,17.21,1.65,99.34,26.51
30-10-1982,16.97,1.34,99.24,26.82
31-10-1982,16.91,1.7,99.14,26.59
01-11-1982,16.91,1.81,99.07,26.64
02-11-1982,17.33,1.58,99.08,26.34
03-11-1982,18.07,1.99,99.08,26.82
04-11-1982,18.19,2.95,99.15,25.57
05-11-1982,17.76,2.85,99.08,25.3
06-11-1982,18.01,2.89,99.03,25.33
07-11-1982,18.07,3.19,99.14,25.83
08-11-1982,18.37,2.75,99.22,25.86
09-11-1982,17.88,2.13,99.25,25.99
10-11-1982,17.94,2.5,99.26,25.63
11-11-1982,17.76,1.66,99.3,25.78
12-11-1982,17.4,1.79,99.29,26.13
13-11-1982,17.82,2.19,99.34,25.85
14-11-1982,18.25,2.61,99.27,26.51
15-11-1982,17.76,1.86,99.28,26.23
16-11-1982,17.52,1.54,99.34,25.91
17-11-1982,17.52,1.47,99.4,26.45
18-11-1982,15.56,1.98,99.48,25.94
19-11-1982,14.71,2.23,99.35,25.47
20-11-1982,15.32,1.46,99.23,25.65
21-11-1982,15.32,1.7,99.2,25.9
22-11-1982,16.05,1.77,99.17,26.65
23-11-1982,16.72,1.77,99.12,26.83
24-11-1982,15.2,2,99.06,26.13
25-11-1982,15.44,2.14,98.98,25.76
26-11-1982,15.62,2.32,99.06,25.88
27-11-1982,17.09,1.56,99.12,26.77
28-11-1982,17.09,1.89,99.26,25.77
29-11-1982,15.01,1.34,99.28,25.62
30-11-1982,15.01,1.74,99.31,25.62
01-12-1982,15.93,1.56,99.31,25.81
02-12-1982,15.01,2.01,99.34,25.88
03-12-1982,12.33,2.35,99.31,24.23
04-12-1982,14.83,2.35,99.4,25.33
05-12-1982,15.93,1.38,99.39,26.53
06-12-1982,15.99,1.92,99.33,25.98
07-12-1982,12.94,2.16,99.37,25.01
08-12-1982,13.49,1.97,99.5,25.08
09-12-1982,13.55,2.41,99.59,24.82
10-12-1982,13.61,2.38,99.35,24.48
11-12-1982,12.33,2.51,99.27,24.52
12-12-1982,12.94,1.99,99.29,25.24
13-12-1982,15.08,2.14,99.42,26.01
14-12-1982,14.28,2.44,99.5,25.32
15-12-1982,12.94,1.54,99.37,25.76
16-12-1982,13.61,2.04,99.36,25.61
17-12-1982,13.85,1.8,99.4,26.13
18-12-1982,15.08,1.64,99.43,27.05
19-12-1982,13.73,2.33,99.35,26.29
20-12-1982,12.33,2.72,99.33,25.85
21-12-1982,12.39,2.68,99.36,25.15
22-12-1982,12.45,2.7,99.29,25.59
23-12-1982,13.06,1.84,99.21,26.37
24-12-1982,12.63,1.8,99.2,25.65
25-12-1982,11.96,2.23,99.15,25.37
26-12-1982,11.47,2.41,99.27,25.23
27-12-1982,13.06,1.86,99.2,26.05
28-12-1982,14.22,1.98,99.22,25.92
29-12-1982,13.49,2.23,99.32,25.78
30-12-1982,12.21,2.91,99.3,25.42
31-12-1982,12.08,2.45,99.29,25.42
01-01-1983,12.08,2.38,99.37,25.44
02-01-1983,12.08,1.83,99.33,25.09
03-01-1983,12.63,2.16,99.38,24.84
04-01-1983,12.39,2,99.41,25.18
05-01-1983,12.02,2.3,99.41,24.68
06-01-1983,11.72,1.99,99.4,24.54
07-01-1983,10.62,2.29,99.43,24.53
08-01-1983,11.29,2.48,99.47,24.48
09-01-1983,10.62,2.36,99.4,24.63
10-01-1983,10.62,2,99.45,25.1
11-01-1983,10.62,2.08,99.53,24.83
12-01-1983,10.13,2.2,99.46,24.65
13-01-1983,10.56,2.26,99.38,24.67
14-01-1983,11.05,2.51,99.29,25.08
15-01-1983,11.96,2.77,99.3,25.7
16-01-1983,12.27,1.73,99.4,26.17
17-01-1983,12.63,2.34,99.44,26.03
18-01-1983,12.51,2.34,99.4,26.02
19-01-1983,12.45,2.31,99.44,25.69
20-01-1983,11.96,2.02,99.42,25.84
21-01-1983,11.35,1.95,99.49,26.58
22-01-1983,10.86,2.16,99.52,26.42
23-01-1983,12.02,2.38,99.53,26.03
24-01-1983,12.51,2.32,99.46,26.86
25-01-1983,13.98,2.15,99.52,26.75
26-01-1983,13.73,2.32,99.5,27.26
27-01-1983,14.22,2.3,99.55,27.06
28-01-1983,14.34,3.08,99.51,26.9
29-01-1983,13.61,3.69,99.49,26.98
30-01-1983,12.88,2.57,99.31,27.29
31-01-1983,13.24,2.61,99.27,26.66
01-02-1983,11.9,3.59,99.31,26.59
02-02-1983,11.54,3.48,99.43,26.18
03-02-1983,11.78,3.93,99.46,26.14
04-02-1983,10.8,3.42,99.45,25.46
05-02-1983,11.41,3.09,99.34,24.98
06-02-1983,11.84,2.66,99.36,24.99
07-02-1983,11.47,2.61,99.35,25.02
08-02-1983,12.02,2.19,99.37,24.87
09-02-1983,12.63,2.67,99.3,25.22
10-02-1983,12.51,2.32,99.22,26.52
11-02-1983,12.45,2.37,99.2,27.16
12-02-1983,12.63,2.7,99.1,27.44
13-02-1983,13.98,2.34,99.11,27.43
14-02-1983,14.71,2.34,99.28,27.4
15-02-1983,14.77,2.8,99.4,27.32
16-02-1983,14.71,3.58,99.37,27.34
17-02-1983,14.34,3.77,99.23,27.21
18-02-1983,14.16,3.37,99.23,27.54
19-02-1983,13.67,2.93,99.35,27.51
20-02-1983,12.15,3.54,99.32,27.46
21-02-1983,11.17,2.99,99.35,26.91
22-02-1983,11.11,3.7,99.36,26.8
23-02-1983,11.6,3.29,99.4,27.06
24-02-1983,11.84,3.18,99.45,26.61
25-02-1983,12.27,3.25,99.51,26.37
26-02-1983,11.17,3.79,99.37,26.53
27-02-1983,12.08,3.21,99.38,26.32
28-02-1983,12.94,3.35,99.51,26.48
01-03-1983,13.12,3.55,99.51,26.54
02-03-1983,12.57,3.8,99.44,26.82
03-03-1983,11.9,3.55,99.46,27.29
04-03-1983,12.57,3.61,99.45,26.9
05-03-1983,13,3.12,99.36,26.39
06-03-1983,12.27,2.98,99.35,26.58
07-03-1983,12.21,2.9,99.4,26.74
08-03-1983,12.7,3.12,99.33,27.73
09-03-1983,13.49,2.72,99.31,28.34
10-03-1983,13.79,2.15,99.26,28.76
11-03-1983,14.34,2.33,99.32,28.65
12-03-1983,13.98,2.24,99.17,29.18
13-03-1983,15.99,2.27,99.24,28.23
14-03-1983,15.69,2.44,99.25,28.26
15-03-1983,14.71,2.52,99.21,28.4
16-03-1983,13.37,2.92,99.17,28.54
17-03-1983,13.49,3.1,99.18,28.5
18-03-1983,14.77,2.47,99.24,28.05
19-03-1983,15.62,2.75,99.31,27.81
20-03-1983,14.53,3.17,99.25,28.19
21-03-1983,14.28,3.68,99.24,27.38
22-03-1983,12.7,3.74,99.29,26.81
23-03-1983,11.84,3.41,99.13,28.58
24-03-1983,12.39,2.9,99.21,28.35
25-03-1983,14.04,3.69,99.26,28.17
26-03-1983,13.98,3.59,99.17,28.42
27-03-1983,13.55,3.85,99.11,28.58
28-03-1983,13.55,3.49,99.17,28.15
29-03-1983,12.7,3.9,99.14,27.8
30-03-1983,12.15,3.99,99.01,28.55
31-03-1983,13.18,3.2,99.06,28.92
01-04-1983,13.61,2.52,99.23,28.95
02-04-1983,13.92,2.71,99.22,29.12
03-04-1983,14.47,2.72,99.22,28.22
04-04-1983,13.18,3.45,99.17,28.65
05-04-1983,13.98,3.85,99.14,29.18
06-04-1983,14.71,3.01,99.15,29.02
07-04-1983,15.32,2.87,99.11,28.72
08-04-1983,15.69,3.1,99.1,28.8
09-04-1983,16.42,3.51,99.13,29.02
10-04-1983,14.16,3.84,99.08,29.16
11-04-1983,13.79,3.12,99.1,29.19
12-04-1983,13.98,2.79,99.12,29.21
13-04-1983,14.95,3.27,99.07,28.83
14-04-1983,15.69,3.4,99.01,28.74
15-04-1983,15.69,3.52,99.09,28.69
16-04-1983,15.08,4.02,99.06,28.5
17-04-1983,15.93,3.77,99.11,28.47
18-04-1983,14.47,4.02,99.23,29.05
19-04-1983,14.04,3.45,99.3,29.4
20-04-1983,14.4,2.92,99.25,29.5
21-04-1983,14.28,3.01,99.13,29.46
22-04-1983,14.95,2.94,99.05,28.93
23-04-1983,15.75,3.01,99.03,28.26
24-04-1983,15.69,3.63,99,28.47
25-04-1983,15.32,3.61,99.05,28.58
26-04-1983,15.56,3.29,99.06,28.82
27-04-1983,16.78,3.12,99.01,29.85
28-04-1983,16.91,2.75,99.08,29.83
29-04-1983,17.21,2.66,99.21,29.57
30-04-1983,17.09,3.14,99.14,29.23
01-05-1983,16.72,3.33,99.03,29.03
02-05-1983,15.32,3.27,99.04,29.01
03-05-1983,15.93,3.54,98.98,29.48
04-05-1983,16.85,3.1,99.01,29.55
05-05-1983,17.21,2.75,99.14,29.4
06-05-1983,16.6,2.77,99.15,29.02
07-05-1983,17.21,2.84,99.14,29.08
08-05-1983,18.43,2.43,99.17,28.62
09-05-1983,18.37,2.61,99.13,28.8
10-05-1983,16.3,3.26,98.99,29.4
11-05-1983,15.87,3.21,99,29.48
12-05-1983,16.17,3.88,99.01,29.12
13-05-1983,15.93,3.59,99.02,29.26
14-05-1983,17.15,3.98,99.01,29.05
15-05-1983,18.07,3.56,98.99,28.87
16-05-1983,18.25,2.37,99.01,28.79
17-05-1983,18.62,2.5,98.93,29.42
18-05-1983,19.78,2.01,99.07,27.6
19-05-1983,18.86,2.13,99.04,27.48
20-05-1983,17.52,1.73,98.92,27.62
21-05-1983,17.52,2.57,98.92,28.37
22-05-1983,18.25,2.29,99.01,28.43
23-05-1983,18.13,2.91,98.98,28.84
24-05-1983,18.86,2.68,99.01,28.1
25-05-1983,18.74,2.66,99.01,28.25
26-05-1983,18.68,3.31,99.05,28.26
27-05-1983,19.04,3.29,99.07,27.53
28-05-1983,18.98,3.56,99,27.64
29-05-1983,18.68,3.25,98.92,27.69
30-05-1983,18.19,3.8,98.94,28.18
31-05-1983,17.64,4.45,98.97,28.68
01-06-1983,17.64,4.34,99,28.98
02-06-1983,18.07,3.92,98.92,28.25
03-06-1983,17.21,3.51,99.01,27.58
04-06-1983,17.58,2.65,98.99,27.13
05-06-1983,18.62,3.48,98.92,27.39
06-06-1983,18.37,2.99,98.89,27.26
07-06-1983,18.25,2.94,98.89,27.65
08-06-1983,18.49,3.55,98.83,27.9
09-06-1983,18.43,3.44,98.83,28.3
10-06-1983,17.76,1.69,98.84,28.15
11-06-1983,18.55,2.68,98.83,27.73
12-06-1983,18.55,3.3,98.79,28.15
13-06-1983,19.41,3.7,98.81,27.26
14-06-1983,16.6,3.09,98.88,26.87
15-06-1983,17.03,2.48,98.95,26.65
16-06-1983,19.29,4.62,98.95,26.11
17-06-1983,20.26,6.17,98.83,26.6
18-06-1983,20.14,4.88,98.74,26.45
19-06-1983,18.92,4.71,98.89,26.34
20-06-1983,18.25,3.4,99.11,26.59
21-06-1983,18.86,3.91,99.09,26.69
22-06-1983,18.8,4.56,99.01,26.69
23-06-1983,16.78,4,99.05,25.08
24-06-1983,16.6,4.64,98.94,25.9
25-06-1983,16.97,4.25,98.96,25.48
26-06-1983,17.15,4.66,98.89,25.83
27-06-1983,18.8,5.02,98.73,26.32
28-06-1983,18.86,5.48,98.72,26.23
29-06-1983,19.29,4.29,98.79,26.24
30-06-1983,19.04,2.84,99.08,25.74
01-07-1983,16.11,3.17,99.27,25.81
02-07-1983,16.72,2.34,99.15,26.29
03-07-1983,17.88,2.82,99.08,26.26
04-07-1983,18.68,2.9,99.11,26.83
05-07-1983,19.47,3.37,99.08,27
06-07-1983,19.29,3.38,99.1,27.15
07-07-1983,18.55,2.78,99.1,26.27
08-07-1983,17.88,2.95,98.98,26.01
09-07-1983,16.66,4.09,99.03,25.26
10-07-1983,18.13,4.95,98.95,25.28
11-07-1983,18.86,6.32,98.8,25.63
12-07-1983,19.23,5.57,98.67,25.79
13-07-1983,19.71,5.01,98.56,26.18
14-07-1983,18.37,4.99,98.62,25.52
15-07-1983,18.49,5.12,98.63,25.33
16-07-1983,18.25,5.39,98.65,25.05
17-07-1983,17.46,4.52,98.76,25.16
18-07-1983,17.4,3.13,98.87,25.46
19-07-1983,18.13,3.95,98.86,25.4
20-07-1983,18.55,5.33,98.84,25.48
21-07-1983,18.86,6.88,98.8,25.88
22-07-1983,18.74,6.24,98.94,26.14
23-07-1983,18.68,4.2,98.97,26.01
24-07-1983,19.23,4.3,98.94,25.54
25-07-1983,18.62,3.88,98.94,25.15
26-07-1983,18.43,2.99,99.01,25.42
27-07-1983,18.25,2.45,99.11,25.48
28-07-1983,18.01,2.88,99.13,25.22
29-07-1983,17.82,3.31,99.14,24.41
30-07-1983,17.82,3.18,99.16,24.65
31-07-1983,18.07,3.16,99.17,25
01-08-1983,18.07,3.07,99.08,25.44
02-08-1983,18.25,2.78,99.07,25.51
03-08-1983,18.62,3.71,99.11,25.8
04-08-1983,18.74,3.38,99.12,25.92
05-08-1983,18.68,3.18,99.17,25.64
06-08-1983,18.07,3.09,99.03,25.24
07-08-1983,18.98,5.28,98.81,25.71
08-08-1983,19.1,5.49,98.81,25.44
09-08-1983,18.98,3.98,98.87,25.48
10-08-1983,19.04,4.2,98.93,25.48
11-08-1983,18.74,5.39,98.86,24.99
12-08-1983,18.92,5.09,98.93,25.18
13-08-1983,18.43,5.12,99,25.01
14-08-1983,18.25,4.85,99.01,24.85
15-08-1983,18.31,5.02,98.98,24.89
16-08-1983,18.86,4.83,98.85,24.98
17-08-1983,19.1,4.73,98.74,25.41
18-08-1983,19.04,3.91,98.74,25.24
19-08-1983,18.74,4.04,98.78,25.05
20-08-1983,17.82,2.95,98.88,24.46
21-08-1983,17.94,2.72,98.87,24.83
22-08-1983,17.64,2.85,98.89,24.81
23-08-1983,17.21,2.35,99.02,24.21
24-08-1983,17.76,2.99,99.01,24.28
25-08-1983,18.13,3.94,99.01,24.93
26-08-1983,17.76,3.02,99.08,24.67
27-08-1983,17.76,3.68,99.11,24.5
28-08-1983,18.31,3.63,99.02,24.9
29-08-1983,18.01,2.95,99.02,24.65
30-08-1983,17.64,2.56,99.04,24.96
31-08-1983,17.52,2.52,99.1,24.8
